sentence,arg1,rel,arg2,type,pattern,arg1_with_pos,rel_with_pos,arg2_with_pos,arg1_prepositions,rel_prepositions,arg2_prepositions
How do I review the Rings book?,{I},How do {review},the Rings {book},SVO,"(nsubj, verb, dobj)",I-PRP-3,How-WRB-1 do-VBP-2 review-VB-4,the-DT-5 Rings-NNP-6 book-NN-7,,,
Ever since 5th grade when I stole I's hermano's Lord of the Rings book -LRB- all three in one!,{I},when {stole},{hermano},SVO,"(nsubj, verb, dobj)",I-PRP-6,when-WRB-5 stole-VBP-7,hermano-NN-10,,,
While I read The Hobbit after reading the entire Lord of the Rings series -LRB- twice -RRB- it had the same effect on I.,{I},{read},The {Hobbit},SVO,"(nsubj, verb, dobj)",I-PRP-2,read-VBP-3,The-DT-4 Hobbit-NNP-5,,,
While I read The Hobbit after reading the entire Lord of the Rings series -LRB- twice -RRB- it had the same effect on I.,{it},{had},the same {effect},SVO,"(nsubj, verb, dobj)",it-PRP-22,had-VBD-23,the-DT-24 same-JJ-25 effect-NN-26,,,
I don't think there has been another imaginary world that I have wanted to live in more than Middle Earth.,{I},have {wanted},another imaginary {world},SVO,"(nsubj, verb, dobj)",I-PRP-12,have-VBP-13 wanted-VBN-14,another-DT-8 imaginary-JJ-9 world-NN-10,,,
While the worlds of Harry Potter and Narnia were also I's escape when I was younger Tolkien's world has and always will have the strongest calling to I.,{escape},has will {have},the strongest {calling},SVO,"(nsubj, verb, dobj)",escape-NN-13,has-VBZ-21 will-MD-24 have-VB-25,the-DT-26 strongest-JJS-27 calling-NN-28,,,
Maybe that's why I have several copies of The Hobbit and Lord of the Rings and while I have tried to read a book from the Lord of the Rings series each year I was long overdue for a rereading of The Hobbit.,{I},why {have},several {copies} Hobbit,SVO,"(nsubj, verb, dobj)",I-PRP-5,why-WRB-4 have-VBP-6,several-JJ-7 copies-NNS-8 Hobbit-NNP-11,,,
With the movie recently out of theaters and a local book club reading the movie recently out of theaters and a local book club for this month I decided the movie recently out of theaters and a local book club was most certainly time to read the movie recently out of theaters and a local book club again.,{I},{decided} recently,the {movie},SVO,"(nsubj, verb, dobj)",I-PRP-28,decided-VBD-29 recently-RB-32,the-DT-30 movie-NN-31,,,
the movie recently out of theaters and a local book club was no surprise to I when while reading the movie recently out of theaters and a local book club recently out of theaters and a local book club I was again sucked into younger Tolkien world younger Tolkien and while the story was still familiar with I even after all these years I still was so involved in the story younger Tolkien was hard for I to put the movie recently out of theaters and a local book club recently out of theaters and a local book club down.,no {surprise},when {reading} recently again still even still so,the {movie},SVO,"(nsubj, verb, dobj)",no-DT-13 surprise-NN-14,when-WRB-17 reading-VBG-19 recently-RB-22 again-RB-42 still-RB-55 even-RB-59 still-RB-65 so-RB-67,the-DT-20 movie-NN-21,,,
the movie recently out of theaters and a local book club was no surprise to I when while reading the movie recently out of theaters and a local book club recently out of theaters and a local book club I was again sucked into younger Tolkien world younger Tolkien and while the story was still familiar with I even after all these years I still was so involved in the story younger Tolkien was hard for I to put the movie recently out of theaters and a local book club recently out of theaters and a local book club down.,the {story},when {reading} recently again still even still so,the {movie},SVO,"(nsubj, verb, dobj)",the-DT-52 story-NN-53,when-WRB-17 reading-VBG-19 recently-RB-22 again-RB-42 still-RB-55 even-RB-59 still-RB-65 so-RB-67,the-DT-20 movie-NN-21,,,
the movie recently out of theaters and a local book club was no surprise to I when while reading the movie recently out of theaters and a local book club recently out of theaters and a local book club I was again sucked into younger Tolkien world younger Tolkien and while the story was still familiar with I even after all these years I still was so involved in the story younger Tolkien was hard for I to put the movie recently out of theaters and a local book club recently out of theaters and a local book club down.,younger {Tolkien},when {reading} recently again still even still so,the {movie},SVO,"(nsubj, verb, dobj)",younger-JJR-48 Tolkien-NNP-49,when-WRB-17 reading-VBG-19 recently-RB-22 again-RB-42 still-RB-55 even-RB-59 still-RB-65 so-RB-67,the-DT-20 movie-NN-21,,,
the movie recently out of theaters and a local book club was no surprise to I when while reading the movie recently out of theaters and a local book club recently out of theaters and a local book club I was again sucked into younger Tolkien world younger Tolkien and while the story was still familiar with I even after all these years I still was so involved in the story younger Tolkien was hard for I to put the movie recently out of theaters and a local book club recently out of theaters and a local book club down.,the {story},when {reading} recently again still even still so,the {movie},SVO,"(nsubj, verb, dobj)",the-DT-70 story-NN-71,when-WRB-17 reading-VBG-19 recently-RB-22 again-RB-42 still-RB-55 even-RB-59 still-RB-65 so-RB-67,the-DT-20 movie-NN-21,,,
the movie recently out of theaters and a local book club was no surprise to I when while reading the movie recently out of theaters and a local book club recently out of theaters and a local book club I was again sucked into younger Tolkien world younger Tolkien and while the story was still familiar with I even after all these years I still was so involved in the story younger Tolkien was hard for I to put the movie recently out of theaters and a local book club recently out of theaters and a local book club down.,younger {Tolkien},when {reading} recently again still even still so,the {movie},SVO,"(nsubj, verb, dobj)",younger-JJR-72 Tolkien-NNP-73,when-WRB-17 reading-VBG-19 recently-RB-22 again-RB-42 still-RB-55 even-RB-59 still-RB-65 so-RB-67,the-DT-20 movie-NN-21,,,
the movie recently out of theaters and a local book club was no surprise to I when while reading the movie recently out of theaters and a local book club recently out of theaters and a local book club I was again sucked into younger Tolkien world younger Tolkien and while the story was still familiar with I even after all these years I still was so involved in the story younger Tolkien was hard for I to put the movie recently out of theaters and a local book club recently out of theaters and a local book club down.,the {movie},when {reading} recently again still even still so,the {movie},SVO,"(nsubj, verb, dobj)",the-DT-1 movie-NN-2,when-WRB-17 reading-VBG-19 recently-RB-22 again-RB-42 still-RB-55 even-RB-59 still-RB-65 so-RB-67,the-DT-20 movie-NN-21,,,
the movie recently out of theaters and a local book club was no surprise to I when while reading the movie recently out of theaters and a local book club recently out of theaters and a local book club I was again sucked into younger Tolkien world younger Tolkien and while the story was still familiar with I even after all these years I still was so involved in the story younger Tolkien was hard for I to put the movie recently out of theaters and a local book club recently out of theaters and a local book club down.,{I},when {reading} recently again still even still so,the {movie},SVO,"(nsubj, verb, dobj)",I-PRP-40,when-WRB-17 reading-VBG-19 recently-RB-22 again-RB-42 still-RB-55 even-RB-59 still-RB-65 so-RB-67,the-DT-20 movie-NN-21,,,
the movie recently out of theaters and a local book club was no surprise to I when while reading the movie recently out of theaters and a local book club recently out of theaters and a local book club I was again sucked into younger Tolkien world younger Tolkien and while the story was still familiar with I even after all these years I still was so involved in the story younger Tolkien was hard for I to put the movie recently out of theaters and a local book club recently out of theaters and a local book club down.,{I},when {reading} recently again still even still so,the {movie},SVO,"(nsubj, verb, dobj)",I-PRP-64,when-WRB-17 reading-VBG-19 recently-RB-22 again-RB-42 still-RB-55 even-RB-59 still-RB-65 so-RB-67,the-DT-20 movie-NN-21,,,
the movie recently out of theaters and a local book club was no surprise to I when while reading the movie recently out of theaters and a local book club recently out of theaters and a local book club I was again sucked into younger Tolkien world younger Tolkien and while the story was still familiar with I even after all these years I still was so involved in the story younger Tolkien was hard for I to put the movie recently out of theaters and a local book club recently out of theaters and a local book club down.,{I},to {put} recently,the {movie},SVO,"(nsubj, verb, dobj)",I-PRP-77,to-TO-78 put-VB-79 recently-RB-82,the-DT-80 movie-NN-81,,,
"I'm pretty sure almost everyone has had this feeling, the want for adventure and to travel and see younger Tolkien world.",{everyone},has {had},this {feeling},SVO,"(nsubj, verb, dobj)",everyone-NN-6,has-VBZ-7 had-VBN-8,this-DT-9 feeling-NN-10,,,
That is probably part of the reason why I enjoyed this book so much.,{I},why {enjoyed},{much},SVO,"(nsubj, verb, dobj)",I-PRP-9,why-WRB-8 enjoyed-VBD-10,much-JJ-14,,,
"This book let I go on an adventure full of trolls, goblins, orcs, magic, dragons, dwarves, wizards, elves, gold, and everything a young kid could want in a story.",a young {kid},could {want},{everything},SVO,"(nsubj, verb, dobj)",a-DT-31 young-JJ-32 kid-NN-33,could-MD-34 want-VB-35,everything-NN-30,,,
